EN,dog,UA,пес;
PL,kot,EN,cat;
UA,книга,PL,książka;
PL,słońce,EN,sun;
EN,apple,PL,jabłko;
UA,дерево,EN,tree;
UA,дім,PL,dom;
PL,kot,EN,cat;
UA,математика,EN,mathematics;
EN,river,PL,rzeka;
EN,computer,UA,комп'ютер;
PL,kwiat,EN,flower;
UA,сонце,PL,słońce;
UA,вода,EN,water;
EN,book,PL,książka;
PL,szkoła,UA,школа;
EN,moon,UA,місяць;
PL,drzewo,EN,tree;
EN,house,PL,dom;
UA,гора,PL,góra;
PL,dom,EN,house;
UA,мова,EN,language;
PL,piłka,EN,ball;
EN,sky,UA,небо;
EN,flower,PL,kwiat;
UA,собака,PL,pies;
EN,sun,UA,сонце;
PL,koszula,EN,shirt;
PL,kosmos,EN,cosmos;
EN,mountain,UA,гора;
